song,album,section,text
Labyrinth,Midnights,[Chorus],"Uh-oh, I'm fallin' in love
Oh no, I'm fallin' in love again
Oh, I'm fallin' in love
I thought the plane was goin' down
How'd you turn it right around?
Uh-oh, I'm fallin' in love
Oh no, I'm fallin' in love again
Oh, I'm fallin' in love
I thought the plane was goin' down
How'd you turn it right around?
Uh-oh, I'm fallin' in love
Oh no, I'm fallin' in love again
Oh, I'm fallin' in love
I thought the plane was goin' down
How'd you turn it right around?
Uh-oh, I'm fallin' in love
Oh no, I'm fallin' in love again
Oh, I'm fallin' in love
I thought the plane was goin' down
How'd you turn it right around?"
Karma,Midnights,[Verse 1],"You're talking shit for the hell of it
Addicted to betrayal, but you're relevant
You're terrified to look down
'Cause if you dare, you'll see the glare
Of everyone you burned just to get there
It's coming back around"
Karma,Midnights,[Pre-Chorus],"And I keep my side of the street clean
You wouldn't know what I mean"
Karma,Midnights,[Chorus],"'Cause karma is my boyfriend
Karma is a god
Karma is the breeze in my hair on the weekend
Karma's a relaxing thought
Aren't you envious that for you it's not?
Sweet like honey, karma is a cat
Purring in my lap 'cause it loves me
Flexing like a goddamn acrobat
Me and karma vibe like that"
Karma,Midnights,[Verse 2],"Spiderboy, king of thieves
Weave your little webs of opacity
My pennies made your crown
Trick me once, trick me twice
Don't you know that cash ain't the only price?
It's coming back around"
Karma,Midnights,[Pre-Chorus],"And I keep my side of the street clean
You wouldn't know what I mean"
Karma,Midnights,[Chorus],"'Cause karma is my boyfriend
Karma is a god
Karma is the breeze in my hair on the weekend
Karma's a relaxing thought
Aren't you envious that for you it's not?
Sweet like honey, karma is a cat
Purring in my lap 'cause it loves me
Flexing like a goddamn acrobat
Me and karma vibe like that"
Karma,Midnights,[Bridge],"Ask me what I learned from all those years
Ask me what I earned from all those tears
Ask me why so many fade, but I'm still here
(I'm still here, I'm still here)"
Karma,Midnights,[Breakdown],"'Cause karma is the thunder
Rattling your ground
Karma's on your scent like a bounty hunter
Karma's gonna track you down
Step by step, from town to town
Sweet like justice, karma is a queen
Karma takes all my friends to the summit
Karma is the guy on the screen
Coming straight home to me"
Karma,Midnights,[Chorus],"'Cause karma is my boyfriend (Karma is my boyfriend)
Karma is a god
Karma is the breeze in my hair on the weekend (Weekend)
Karma's a relaxing thought
Aren't you envious that for you it's not?
Sweet like honey, karma is a cat
Purring in my lap 'cause it loves me
Flexing like a goddamn acrobat
Me and karma vibe like that"
Karma,Midnights,[Outro],"Karma is my boyfriend
Karma is a god (Ah)
Uh-huh, mm
Karma's a relaxing thought"
Sweet Nothing,Midnights,[Verse 1],"I spy with my little tired eye
Tiny as a firefly
A pebble that we picked up last July
Down deep inside your pocket
We almost forgot it
Does it ever miss Wicklow sometimes?
Ooh, ooh"
Sweet Nothing,Midnights,[Chorus],"They said the end is comin'
Everyone's up to somethin'
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin'
You're in the kitchen hummin'
All that you ever wanted from me was sweet nothin'"
Sweet Nothing,Midnights,[Verse 2],"On the way home
I wrote a poem
You say, ""What a mind""
This happens all the time
Ooh, ooh"
Sweet Nothing,Midnights,[Chorus],"'Cause they said the end is comin'
Everyone's up to somethin'
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin'
You're in the kitchen hummin'
All that you ever wanted from me was nothin'"
Sweet Nothing,Midnights,[Bridge],"Industry disruptors and soul deconstructors
And smooth-talking hucksters out glad-handing each other
And the voices that implore, ""You should be doing more""
To you, I can admit that I'm just too soft for all of it
Ooh"
Sweet Nothing,Midnights,[Chorus],"They said the end is comin'
Everyone's up to somethin'
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin'
You're in the kitchen hummin'
All that you ever wanted from me was sweet nothin'
They said the end is comin' (They said the end is comin')
Everyone's up to somethin' (Everyone's up to somethin')
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin' (Outside, they're push and shovin')
You're in the kitchen hummin' (You're in the kitchen hummin')
All that you ever wanted from me was sweet nothin'"
Mastermind,Midnights,[Verse 1],"Once upon a time, the planets and the fates
And all the stars aligned
You and I ended up in the same room
At the same time"
Mastermind,Midnights,[Pre-Chorus],"And the touch of a hand lit the fuse
Of a chain reaction of countermoves
To assess the equation of you
Checkmate, I couldn't lose"
Mastermind,Midnights,[Chorus],"What if I told you none of it was accidental?
And the first night that you saw me
Nothing was gonna stop me
I laid the groundwork, and then
Just like clockwork
The dominoes cascaded in a line
What if I told you I'm a mastermind?
And now you're mine
It was all by design
'Cause I'm a mastermind"
Mastermind,Midnights,[Verse 2],"You see, all the wisest women
Had to do it this way
'Cause we were born to be the pawn
In every lover's game"
Mastermind,Midnights,[Pre-Chorus],"If you fail to plan, you plan to fail
Strategy sets the scene for the tale
I'm the wind in our free-flowing sails
And the liquor in our cocktails"
Mastermind,Midnights,[Chorus],"What if I told you none of it was accidental?
And the first night that you saw me
I knew I wanted your body
I laid the groundwork, and then
Just like clockwork
The dominoes cascaded in a line
What if I told you I'm a mastermind?
And now you're mine
It was all my design
'Cause I'm a mastermind"
Mastermind,Midnights,[Bridge],"No one wanted to play with me as a little kid
So I've been scheming like a criminal ever since
To make them love me and make it seem effortless
This is the first time I've felt the need to confess
And I swear
I'm only cryptic and Machiavellian
'Cause I care"
Mastermind,Midnights,[Chorus],"So I told you none of it was accidental
And the first night that you saw me
Nothing was gonna stop me
I laid the groundwork, and then
Saw a wide smirk on your face
You knew the entire time
You knew that I'm a mastermind
And now you're mine
Yeah, all you did was smile
'Cause I'm a mastermind"
Hits Different,Midnights,[Verse 1],"I washed my hands of us at the club
You made a mess of me
I pictured you with other girls in love
Then threw up on the street
Like waiting for a bus that never shows
You just start walkin' on
They say that if it's right, you know
Each bar plays our song
Nothing has ever felt so wrong"
Hits Different,Midnights,[Chorus],"Oh, my, love is a lie
Shit my friends say to get me by
It hits different
It hits different this time
Catastrophic blues
Movin' on was always easy for me to do
It hits different
It hits different 'cause it's you"
Hits Different,Midnights,[Post-Chorus],('Cause it's you)
Hits Different,Midnights,[Verse 2],"I used to switch out these Kens, I'd just ghost
Rip the band-aid off and skip town like an asshole outlaw
Freedom felt like summer then on the coast
Now the sun burns my heart and the sand hurts my feelings
And I never don't cry (And I never don't cry) at the bar
Yeah, my sadness is contagious (My sadness is contagious)
I slur your name 'til someone puts me in a car
I stopped receiving invitations"
Hits Different,Midnights,[Chorus],"Oh, my, love is a lie
Shit my friends say to get me by
It hits different
It hits different this time
Catastrophic blues
Movin' on was always easy for me to do
It hits different
It hits different 'cause it's you"
Hits Different,Midnights,[Post-Chorus],('Cause it's you)
Hits Different,Midnights,[Bridge],"I find the artifacts, cried over a hat
Cursed the space that I needed
I trace the evidence, make it make some sense
Why the wound is still bleedin'
You were the one that I loved
Don't need another metaphor, it's simple enough
A wrinkle in time like the crease by your eyes
This is why they shouldn't kill off the main guy
Dreams of your hair and your stare and sense of belief
In the good in the world, you once believed in me
And I felt you and I held you for a while
Bet I could still melt your world
Argumentative, antithetical dream girl"
Hits Different,Midnights,[Verse 3],"I heard your key turn in the door down the hallway
Is that your key in the door?
Is it okay? Is it you?
Or have they come to take me away?
To take me away"
Hits Different,Midnights,[Chorus],"Oh, my, love is a lie
Shit my friends say to get me by
It hits different (It hits different)
It hits different this time
Catastrophic blues
Movin' on was always easy for me to do
It hits different (It hits different)
It hits different 'cause it's you"
Hits Different,Midnights,[Outro],"Oh, my, love is a lie
Shit my friends say to get me by
'Cause it's you
Catastrophic blues
Movin' on was always easy for me to do
It hits different (Yeah)
It hits different 'cause it's you"
The Great War,Midnights,[Verse 1],"My knuckles were bruised like violets
Sucker punching walls, cursed you as I sleep-talked
Spineless in my tomb of silence
Tore your banners down, took the battle underground
And maybe it was egos swinging
Maybe it was her
Flashes of the battle come back to me in a blur"
The Great War,Midnights,[Chorus],"All that bloodshed, crimson clover
Uh-huh, sweet dream was over
My hand was the one you reached for
All throughout the Great War
Always remember
Uh-huh, tears on the letter
I vowed not to cry anymore
If we survived the Great War"
The Great War,Midnights,[Verse 2],"You drew up some good faith treaties
I drew curtains closed, drank my poison all alone
You said I have to trust more freely
But diesel is desire, you were playing with fire
And maybe it's the past that's talking
Screaming from the crypt
Telling me to punish you for things you never did
So I justified it"
The Great War,Midnights,[Chorus],"All that bloodshed, crimson clover
Uh-huh, the bombs were closer
My hand was the one you reached for
All throughout the Great War
Always remember
Uh-huh, the burning embers
I vowed not to fight anymore
If we survived the Great War"
The Great War,Midnights,[Post-Chorus],"Uh-huh, uh-huh"
The Great War,Midnights,[Bridge],"It turned into something bigger
Somewhere in the haze, got a sense I'd been betrayed
Your finger on my hairpin triggers
Soldier down on that icy ground
Looked up at me with honor and truth
Broken and blue, so I called off the troops
That was the night I nearly lost you
I really thought I'd lost you"
