song,album,section,text
Mary's Song (Oh My My My),Taylor Swift,[Verse 1],"She said I was seven and you were nine
I looked at you like the stars that shined
In the sky, the pretty lights
And our daddies used to joke about the two of us
Growing up and falling in love
And our mamas smiled and rolled their eyes
And said, ""Oh, my, my, my"""
Mary's Song (Oh My My My),Taylor Swift,[Chorus],"Take me back to the house in the backyard tree
Said you'd beat me up, you were bigger than me
You never did, you never did
Take me back when our world was one block wide
I dared you to kiss me and ran when you tried
Just two kids, you and I
Oh, my, my, my, my"
Mary's Song (Oh My My My),Taylor Swift,[Verse 2],"Well, I was sixteen when suddenly
I wasn't that little girl you used to see
But your eyes still shined like pretty lights
And our daddies used to joke about the two of us
They never believed we'd really fall in love
And our mamas smiled and rolled their eyes
And said, ""Oh, my, my, my"""
Mary's Song (Oh My My My),Taylor Swift,[Chorus],"Take me back to the creek beds we turned up
2 AM riding in your truck
And all I need is you next to me
Take me back to the time we had our very first fight
The slamming of doors 'stead of kissing goodnight
You stayed outside 'til the morning light
Oh, my, my, my, my"
Mary's Song (Oh My My My),Taylor Swift,[Bridge],"A few years had gone and come around
We were sitting at our favorite spot in town
And you looked at me, got down on one knee"
Mary's Song (Oh My My My),Taylor Swift,[Chorus],"Take me back to the time when we walked down the aisle
Our whole town came and our mamas cried
You said, ""I do,"" and I did, too
Take me home where we met so many years before
We'll rock our babies on that very front porch
After all this time, you and I"
Mary's Song (Oh My My My),Taylor Swift,[Outro],"And I'll be eighty-seven, you'll be eighty-nine
I'll still look at you like the stars that shine
In the sky, oh, my, my, my"
Our Song,Taylor Swift,[Verse 1],"I was ridin' shotgun with my hair undone
In the front seat of his car
He's got a one-hand feel on the steering wheel
The other on my heart
I look around, turn the radio down
He says, ""Baby, is something wrong?""
I say, ""Nothin', I was just thinkin'
How we don't have a song""
And he says"
Our Song,Taylor Swift,[Chorus],"Our song is a slamming screen door
Sneakin' out late, tapping on your window
When we're on the phone and you talk real slow
'Cause it's late and your mama don't know
Our song is the way you laugh
The first date, ""Man, I didn't kiss her and I should have""
And when I got home, 'fore I said, ""Amen""
Askin' God if he could play it again"
Our Song,Taylor Swift,[Verse 2],"I was walking up the front porch steps
After everything that day
Had gone all wrong and been trampled on
And lost and thrown away
Got to the hallway, well on my way to my lovin' bed
I almost didn't notice all the roses
And the note that said"
Our Song,Taylor Swift,[Chorus],"Our song is a slamming screen door
Sneakin' out late, tapping on your window
When we're on the phone and you talk real slow
'Cause it's late and your mama don't know
Our song is the way you laugh
The first date, ""Man, I didn't kiss her and I should have""
And when I got home, 'fore I said, ""Amen""
Askin' God if he could play it again"
Our Song,Taylor Swift,[Post-Chorus],Da-da-da-da
Our Song,Taylor Swift,[Bridge],"I've heard every album, listened to the radio
Waited for somethin' to come along
That was as good as our song"
Our Song,Taylor Swift,[Chorus],"'Cause our song is a slamming screen door
Sneakin' out late, tapping on his window
When we're on the phone and he talks real slow
'Cause it's late and his mama don't know
Our song is the way he laughs
The first date, ""Man, I didn't kiss him and I should have""
And when I got home, 'fore I said, ""Amen""
Askin' God if he could play it again"
Our Song,Taylor Swift,[Post-Chorus],"Play it again, oh yeah
Oh-oh, yeah"
Our Song,Taylor Swift,[Outro],"I was ridin' shotgun with my hair undone
In the front seat of his car
I grabbed a pen and an old napkin
And I wrote down our song"
I'm Only Me When I'm With You,Taylor Swift,[Verse 1],"Friday night beneath the stars
In a field behind your yard
You and I are painting pictures in the sky
And sometimes, we don't say a thing
Just listen to the crickets sing
Everything I need is right here by my side"
I'm Only Me When I'm With You,Taylor Swift,[Pre-Chorus],"And I know everything about you
I don't wanna live without you"
I'm Only Me When I'm With You,Taylor Swift,[Chorus],"I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half, I'm only tryin' to
Let you know that what I feel is true
And I'm only me when I'm with you"
I'm Only Me When I'm With You,Taylor Swift,[Verse 2],"Just a small-town boy and girl
Livin' in a crazy world
Tryna figure out what is and isn't true
And I don't try to hide my tears
My secrets or my deepest fears
Through it all, nobody gets me like you do"
I'm Only Me When I'm With You,Taylor Swift,[Pre-Chorus],"And you know everything about me
You say that you can't live without me"
I'm Only Me When I'm With You,Taylor Swift,[Chorus],"I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half, I'm only tryin' to
Let you know that what I feel is true
And I'm only me when I'm with you"
I'm Only Me When I'm With You,Taylor Swift,[Bridge],"When I'm with anybody else
It's so hard to be myself
And only you can tell"
I'm Only Me When I'm With You,Taylor Swift,[Chorus],"That I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half, I'm only tryin' to
Let you know that what I feel is true
And I'm only me
Who I wanna be
Well, I'm only me when I'm with you"
I'm Only Me When I'm With You,Taylor Swift,[Outro],"With you
Uh-huh-huh, yeah"
Invisible,Taylor Swift,[Verse 1],"She can't see the way your eyes
Light up when you smile
She'll never notice how you stop and stare
Whenever she walks by"
Invisible,Taylor Swift,[Pre-Chorus],"And you can't see me wanting you the way you want her
But you are everything to me"
Invisible,Taylor Swift,[Chorus],"And I just wanna show you
She don't even know you
She's never gonna love you like I want to
And you just see right through me
But if you only knew me
We could be a beautiful miracle, unbelievable
Instead of just invisible"
Invisible,Taylor Swift,[Post-Chorus],"Oh, yeah, oh"
Invisible,Taylor Swift,[Verse 2],"There's a fire inside of you
That can't help but shine through
She's never gonna see the light
No matter what you do"
Invisible,Taylor Swift,[Pre-Chorus],"And all I think about is how to make you think of me
And everything that we could be"
Invisible,Taylor Swift,[Chorus],"And I just wanna show you
She don't even know you
She's never gonna love you like I want to
And you just see right through me
But if you only knew me
We could be a beautiful miracle, unbelievable
Instead of just invisible"
Invisible,Taylor Swift,[Bridge],"Like shadows in a faded light
Oh, we're invisible
I just wanna open your eyes
And make you realize"
Invisible,Taylor Swift,[Chorus],"I just wanna show you
She don't even know you
Baby, let me love you, let me want you
You just see right through me
But if you only knew me
We could be a beautiful miracle, unbelievable
Instead of just invisible"
Invisible,Taylor Swift,[Post-Chorus],"Oh, yeah"
Invisible,Taylor Swift,[Outro],"She can't see the way your eyes
Light up when you smile"
A Perfectly Good Heart,Taylor Swift,[Verse 1],"Why would you wanna break
A perfectly good heart?
Why would you wanna take
Our love and tear it all apart now?
Why would you wanna make
The very first scar?
Why would you wanna break
A perfectly good heart?"
A Perfectly Good Heart,Taylor Swift,[Verse],"Maybe I should've seen the signs
Should've read the writing on the wall
And realized by the distance in your eyes
That I would be the one to fall"
